Month,Day,Hour,RH,Temperature_C,Temperature_F
3,11,0,36.27924545579415,27.58932885735358,81.66079194323645
3,11,1,36.6109356002218,27.52412832837415,81.54343099107348
3,11,2,37.00583510116042,27.443350881208513,81.39803158617532
3,11,3,37.00074782900661,27.553947000330613,81.5971046005951
3,11,4,36.99845855653739,27.628048625416444,81.7304875257496
3,11,5,36.94796738041095,27.684125530886803,81.83142595559625
3,11,6,36.80259857861616,27.73953485414918,81.93116273746853
3,11,7,36.59936205607192,27.768463416495006,81.98323414969101
3,11,8,36.15422574261455,27.729521121029478,81.91313801785309
3,11,9,35.72842106334163,27.689021133745328,81.84023804074158
3,11,10,35.36379083171813,27.642067851784038,81.75572213321125
3,11,11,34.59955537241376,27.839004603138275,82.1102082856489
3,11,12,34.46181747884967,27.71572442206455,81.8883039597162
3,11,13,34.43599957266914,27.64184532438138,81.75532158388647
3,11,14,34.77417598909289,27.55261183591466,81.59470130464639
3,11,15,35.15355930996241,27.873941405355918,82.17309452964066
3,11,16,36.16356782420607,27.562544649978847,81.61258036996193
3,11,17,35.62960080175409,27.869935912108033,82.16588464179448
3,11,18,35.832964506102186,27.840562294956893,82.1130121309224
3,11,19,43.383430245867864,26.388237201495382,79.4988269626917
3,11,20,43.44441392081152,26.826727448437225,80.28810940718701
3,11,21,43.719253798920484,26.91418071768267,80.4455252918288
3,11,22,43.799887062558184,27.077515831235214,80.73952849622339
3,11,23,43.82036333297723,26.921746649373105,80.4591439688716
3,12,0,43.73731361506646,26.853653264159103,80.33657587548639
3,12,1,43.74558043231638,26.936878512753992,80.48638132295719
3,12,2,43.71861788990125,27.03545815213245,80.6638246738384
3,12,3,44.58154642898932,26.998963658096187,80.59813458457312
3,12,4,44.49048425743632,27.30894433000178,81.1560997940032
3,12,5,45.50246987063067,26.901051600925708,80.42189288166627
3,12,6,45.81940692581231,26.881246662088966,80.38624399176013
3,12,7,46.05164089963321,26.84964777091122,80.3293659876402
3,12,8,46.189124429589604,26.83629612675161,80.3053330281529
3,12,9,46.05850871704084,26.94755982808169,80.50560769054702
3,12,10,45.97067233851264,26.84495446569148,80.32091803824466
3,12,11,47.079269874700486,26.68230716411078,80.0281528953994
